epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2990.93,0.73549,0.63309,0.95635,0.3463,0.62424,0.49838,0.34661,1.07263,1.50593,1.18579,0.000255432,0.000255432,0.000255432
43,3059.24,0.74075,0.6251,0.94481,0.26971,0.5695,0.37102,0.26301,1.03447,1.68333,1.16256,0.000254882,0.000254882,0.000254882
44,3129.22,0.74691,0.62758,0.94515,0.5932,0.44322,0.48934,0.35719,1.06858,1.77695,1.1843,0.000254331,0.000254331,0.000254331
45,3197.37,0.72776,0.597,0.9439,0.49908,0.47513,0.45314,0.32681,1.03079,1.81453,1.15192,0.000253781,0.000253781,0.000253781
46,3266.38,0.72113,0.59476,0.95268,0.45052,0.4092,0.42202,0.31029,1.03547,1.77202,1.16581,0.00025323,0.00025323,0.00025323
47,3333.54,0.71509,0.56965,0.93757,0.61009,0.41608,0.46475,0.33079,1.07468,1.82554,1.17163,0.00025268,0.00025268,0.00025268
48,3401.92,0.71015,0.5669,0.93933,0.37478,0.53541,0.48615,0.34275,1.02687,1.79062,1.15499,0.000252129,0.000252129,0.000252129
49,3471.4,0.69954,0.54806,0.93796,0.3381,0.56166,0.50924,0.37392,1.03409,1.78763,1.16224,0.000251579,0.000251579,0.000251579
50,3538.17,0.71098,0.58447,0.93774,0.40059,0.58528,0.51015,0.36988,1.03238,1.62657,1.14979,0.000251028,0.000251028,0.000251028
51,3607.59,0.69443,0.55712,0.92908,0.38396,0.61376,0.49825,0.37554,1.03679,1.70513,1.15964,0.000250478,0.000250478,0.000250478
52,3676.34,0.68705,0.55213,0.92461,0.34578,0.45418,0.41172,0.30392,1.05357,1.87424,1.17658,0.000249928,0.000249928,0.000249928
53,3745.18,0.67843,0.54951,0.91913,0.64788,0.32988,0.41355,0.29974,1.0823,1.86528,1.18524,0.000249377,0.000249377,0.000249377
54,3811.49,0.68398,0.54487,0.92164,0.48381,0.5052,0.47623,0.33838,1.06793,1.76397,1.17236,0.000248827,0.000248827,0.000248827
55,3878.64,0.68421,0.54351,0.92389,0.44916,0.50266,0.49082,0.34811,1.09115,2.05215,1.20544,0.000248276,0.000248276,0.000248276
56,3946.65,0.67524,0.53664,0.923,0.41639,0.48878,0.47238,0.32532,1.12848,1.95243,1.22621,0.000247726,0.000247726,0.000247726
57,4012.82,0.66458,0.50378,0.91104,0.41845,0.54179,0.47176,0.33765,1.05948,1.66042,1.18365,0.000247175,0.000247175,0.000247175
58,4081.44,0.64984,0.49722,0.90562,0.73499,0.31997,0.56423,0.39492,1.07366,1.96945,1.19332,0.000246625,0.000246625,0.000246625
59,4147.9,0.66042,0.503,0.91645,0.60137,0.37663,0.50093,0.35505,1.023,1.60378,1.16566,0.000246074,0.000246074,0.000246074
60,4216.12,0.65559,0.49204,0.90908,0.51648,0.43234,0.52285,0.3749,1.03036,1.68621,1.1623,0.000245524,0.000245524,0.000245524
61,4283.4,0.64864,0.48659,0.91539,0.45706,0.53916,0.51271,0.3684,1.0591,1.90193,1.18621,0.000244974,0.000244974,0.000244974
62,4352.56,0.64119,0.48099,0.90096,0.44172,0.45803,0.48392,0.35061,1.01642,1.89626,1.16835,0.000244423,0.000244423,0.000244423
63,4420.84,0.62716,0.47984,0.90495,0.44473,0.41618,0.4027,0.29403,1.09533,1.9134,1.20488,0.000243873,0.000243873,0.000243873
64,4487.79,0.63797,0.48795,0.90745,0.51155,0.45856,0.46285,0.33811,1.07285,1.85348,1.21568,0.000243322,0.000243322,0.000243322
65,4556.45,0.63397,0.4706,0.90933,0.42686,0.56642,0.46035,0.34238,1.05373,1.94777,1.17909,0.000242772,0.000242772,0.000242772
66,4623.88,0.63433,0.47249,0.90624,0.6885,0.37427,0.46278,0.34028,1.05715,1.83844,1.17885,0.000242221,0.000242221,0.000242221
67,4691.63,0.61177,0.4444,0.89361,0.7076,0.31417,0.41803,0.30735,1.05973,2.3648,1.17215,0.000241671,0.000241671,0.000241671
68,4759.1,0.62295,0.45615,0.90627,0.56873,0.38643,0.41819,0.29472,1.07154,2.09026,1.20795,0.000241121,0.000241121,0.000241121
69,4829.51,0.61943,0.45317,0.90012,0.56591,0.34565,0.40088,0.2926,1.06556,2.2173,1.18703,0.00024057,0.00024057,0.00024057
70,4898.8,0.60479,0.44129,0.88938,0.57789,0.43607,0.43728,0.31922,1.0958,1.86449,1.21808,0.00024002,0.00024002,0.00024002
71,4965.71,0.59345,0.43846,0.88838,0.67882,0.33917,0.44891,0.31965,1.05394,1.89822,1.18302,0.000239469,0.000239469,0.000239469
72,5033.84,0.59333,0.424,0.88836,0.83481,0.34034,0.50622,0.3683,1.05907,1.72816,1.20062,0.000238919,0.000238919,0.000238919
73,5099.72,0.59523,0.42867,0.88675,0.67773,0.36575,0.44534,0.32909,1.0386,1.9869,1.17593,0.000238368,0.000238368,0.000238368
74,5166.03,0.57351,0.40714,0.87873,0.64607,0.37389,0.41757,0.29892,1.06966,2.1323,1.19695,0.000237818,0.000237818,0.000237818
75,5233.31,0.598,0.44425,0.88459,0.65854,0.39108,0.47672,0.35183,1.06963,1.92368,1.19469,0.000237267,0.000237267,0.000237267
76,5299.57,0.57202,0.41369,0.87925,0.78391,0.32836,0.42959,0.30825,1.05955,1.98461,1.19299,0.000236717,0.000236717,0.000236717
77,5366.88,0.57842,0.42022,0.8781,0.56877,0.39848,0.43459,0.31099,1.04095,1.85861,1.19561,0.000236167,0.000236167,0.000236167
78,5431.96,0.57769,0.41144,0.88397,0.59151,0.38122,0.38073,0.27879,1.05257,2.38095,1.1854,0.000235616,0.000235616,0.000235616
